1	106
1	144
1	144
1	105
1	144
0.9	106
1	186
1	30
1	22
1	105
0.978788	144
1	25
1	144
1	144
1	61
0.9	59
1	144
1	144
1	71
1	144
1	59
1	22
1	59
1	50
1	186
1	39
1	171
1	186
1	19
1	186
1	106
1	16
1	64
1	186
1	106
1	78
1	186
1	65
1	186
1	186
0.983051	106
1	186
1	34
0.993902	50
1	112
1	85
0.8	30
0.884211	186
1	186
1	8
1	25
1	186
0.9	65
0.9	39
1	112
0.987805	50
1	112
1	105
1	55
1	116
1	87
1	87
1	87
1	87
1	87
1	64
0.993902	39
1	112
1	116
1	105
1	105
1	105
1	171
1	106
0.888889	16
0.984211	106
1	30
0.888889	16
0.984211	116
1	30
0.9	16
1	106
1	24
1	106
1	64
1	116
1	106
0.8	106
0.9	106
1	106
1	80
1	171
1	171
1	186
1	105
1	106
1	144
1	144
1	105
1	144
0.9	106
1	186
1	30
1	22
1	105
0.978788	144
1	25
1	144
1	144
1	61
0.9	59
1	144
1	144
1	71
1	144
1	59
1	22
1	59
1	50
1	186
1	39
1	171
1	186
1	19
1	186
1	106
1	16
1	64
1	186
1	106
1	78
1	186
1	65
1	186
1	186
0.983051	106
1	186
1	34
0.993902	50
1	112
1	85
0.8	30
0.884211	186
1	186
1	8
1	25
1	186
0.9	65
0.9	39
1	112
0.987805	50
1	112
1	105
1	55
1	116
1	87
1	87
1	87
1	87
1	87
1	64
0.993902	39
1	112
1	116
1	105
1	105
1	105
1	171
1	106
0.888889	16
0.984211	106
1	30
0.888889	16
0.984211	116
1	30
0.9	16
1	106
1	24
1	106
1	64
1	116
1	106
0.8	106
0.9	106
1	106
1	80
1	171
1	171
1	186
1	105
1	144
1	50
1	48
1	144
0.9	105
0.9	64
1	186
1	144
1	39
1	105
1	106
1	116
1	106
1	39
1	60
1	71
1	55
1	30
1	116
1	80
1	186
0.888889	87
1	24
1	8
1	8
1	105
1	105
1	106
1	144
1	87
1	186
1	186
1	87
1	80
1	105
1	64
1	106
1	106
1	144
1	30
1	30
1	105
1	55
1	30
1	171
1	144
1	106
1	64
1	105
1	39
1	39
1	106
1	106
0.9	171
0.9	64
1	11
1	105
1	80
1	106
1	39
1	105
1	116
1	78
1	39
1	116
0.888889	39
1	116
1	106
1	144
1	116
1	144
1	105
1	144
1	171
1	87
1	171
1	186
1	171
1	171
1	171
0.857143	19
1	30
1	87
1	24
1	171
1	116
1	171
1	39
1	78
1	171
1	39
1	171
1	171
1	87
1	171
1	55
1	171
1	171
1	171
1	171
1	98
1	112
0.991289	171
1	112
0.993902	171
1	71
1	112
0.992378	71
0.9	112
0.893902	171
1	71
1	112
0.992378	171
0.9	186
0.833333	19
1	171
1	30
1	144
1	144
1	128
1	144
0.984211	30
0.978113	30
0.977444	112
1	50
1	144
1	71
1	39
1	71
1	186
1	144
1	144
1	186
1	144
1	144
1	112
1	78
1	116
1	105
1	78
1	105
1	105
1	80
1	64
1	105
1	105
1	80
0.9	105
0.9	105
1	30
1	30
1	64
1	105
1	64
1	60
1	80
1	61
1	116
1	80
1	55
1	98
1	80
1	61
1	105
1	105
1	105
1	48
1	116
1	17
0.983051	171
0.983051	30
1	105
1	186
1	13
